Testfile,cuda-total,cuda-PASSED,cuda-Skipped,cuda-Failed,stock_xpu-total,stock_xpu-PASSED,stock_xpu-Skipped,stock_xpu-Failed
test/distributed/tensor/parallel/test_micro_pipeline_tp.py,44.0,44.0,0.0,0.0,,,,
test/distributed/tensor/parallel/test_parallelize_api.py,16.0,16.0,0.0,0.0,,,,
test/distributed/tensor/parallel/test_tp_examples.py,16.0,16.0,0.0,0.0,,,,
test/distributed/tensor/parallel/test_tp_random_state.py,1.0,1.0,0.0,0.0,,,,
test/distributed/tensor/parallel/test_tp_style.py,9.0,9.0,0.0,0.0,,,,
test/distributed/tensor/test_api.py,9.0,9.0,0.0,0.0,,,,
test/distributed/tensor/test_attention.py,6.0,6.0,0.0,0.0,,,,
test/distributed/tensor/test_common_rules.py,10.0,10.0,0.0,0.0,,,,
test/distributed/tensor/test_convolution_ops.py,5.0,5.0,0.0,0.0,,,,
test/distributed/tensor/test_dtensor.py,84.0,73.0,11.0,0.0,,,,
test/distributed/tensor/test_dtensor_compile.py,44.0,42.0,2.0,0.0,,,,
test/distributed/tensor/test_dtensor_dispatch_overhead.py,1.0,1.0,0.0,0.0,,,,
test/distributed/tensor/test_dtensor_export.py,6.0,5.0,1.0,0.0,,,,
test/distributed/tensor/test_dtensor_ops.py,0.0,0.0,0.0,0.0,,,,
test/distributed/tensor/test_dtensor_testbase.py,1.0,1.0,0.0,0.0,,,,
test/distributed/tensor/test_dynamic.py,2.0,2.0,0.0,0.0,,,,
test/distributed/tensor/test_embedding_ops.py,4.0,4.0,0.0,0.0,,,,
test/distributed/tensor/test_experimental_ops.py,3.0,3.0,0.0,0.0,,,,
test/distributed/tensor/test_init.py,7.0,7.0,0.0,0.0,,,,
test/distributed/tensor/test_math_ops.py,21.0,21.0,0.0,0.0,,,,
test/distributed/tensor/test_matrix_ops.py,15.0,15.0,0.0,0.0,,,,
test/distributed/tensor/test_op_schema.py,2.0,2.0,0.0,0.0,,,,
test/distributed/tensor/test_op_strategy.py,20.0,20.0,0.0,0.0,,,,
test/distributed/tensor/test_optimizers.py,12.0,12.0,0.0,0.0,,,,
test/distributed/tensor/test_pointwise_ops.py,7.0,6.0,1.0,0.0,,,,
test/distributed/tensor/test_random_ops.py,13.0,13.0,0.0,0.0,,,,
test/distributed/tensor/test_redistribute.py,29.0,28.0,1.0,0.0,,,,
test/distributed/tensor/test_tensor_ops.py,60.0,60.0,0.0,0.0,,,,
test/distributed/tensor/test_utils.py,21.0,21.0,0.0,0.0,,,,
test/distributed/tensor/test_view_ops.py,14.0,13.0,1.0,0.0,,,,
test/distributed/tensor/test_xla_integration.py,3.0,0.0,3.0,0.0,,,,
test/distributed/test_aten_comm_compute_reordering.py,21.0,19.0,2.0,0.0,,,,
test/distributed/test_backends.py,2.0,2.0,0.0,0.0,,,,
test/distributed/test_c10d_common.py,27.0,27.0,0.0,0.0,,,,
